No.,Ticker,Market Cap,Dividend Yield,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Price,Change,Volume
2486,RXO,1881.43,,,,14.10%,1.40,1.40,0.00,0.00,18.20%,,,,16.71,1.03%,882695
2487,RXRX,1487.14,,-37.60%,-53.00%,-33.80%,5.80,5.80,0.00,0.00,-30.40%,,,11/8/2022 4:30:00 PM,8.71,9.97%,1017528
2488,RXST,381.02,,-38.60%,-57.20%,-29.70%,8.50,7.60,0.42,0.42,40.60%,,,11/7/2022 4:30:00 PM,13.25,-4.06%,62286
2489,RXT,565.50,,-11.00%,-56.30%,-0.20%,1.30,1.30,4.48,4.61,28.60%,-15.40%,-21.60%,11/9/2022 4:30:00 PM,2.69,2.67%,1669698
2490,RYAM,374.47,,-1.80%,-5.40%,1.50%,2.00,1.20,1.09,1.12,5.80%,-0.40%,-2.70%,11/1/2022 4:30:00 PM,6.45,7.86%,1054369
2491,RYAN,10934.21,,0.90%,13.60%,9.40%,1.30,1.30,4.41,4.48,,15.90%,3.20%,11/10/2022 4:30:00 PM,43.00,-0.35%,533783
2492,RYI,1148.08,1.97%,20.60%,70.40%,28.80%,2.40,1.10,0.53,0.54,22.40%,11.20%,7.90%,11/2/2022 4:30:00 PM,32.70,0.77%,169174
2493,RYN,4937.44,3.26%,2.30%,4.60%,8.10%,3.20,2.90,0.69,0.69,21.70%,16.80%,8.90%,11/2/2022 4:30:00 PM,35.29,0.86%,278141
2494,RYTM,1517.43,,-56.60%,-72.80%,-59.80%,10.90,10.90,0.26,0.26,92.00%,,,,31.70,4.14%,805065
2495,S,4061.58,,-16.80%,-21.40%,-16.20%,2.40,2.40,0.00,0.00,64.40%,,-98.60%,12/6/2022 4:30:00 PM,14.20,-1.32%,7637332
2496,SABR,2095.67,,-9.30%,83.50%,-15.60%,1.90,1.90,,,59.90%,-14.00%,-20.10%,11/2/2022 8:30:00 AM,6.54,1.71%,5278799
2497,SAFE,1853.62,2.25%,2.60%,6.90%,3.40%,,,1.64,1.64,98.80%,77.50%,54.20%,11/1/2022 8:30:00 AM,31.71,0.79%,151539
2498,SAFT,1196.84,4.29%,2.70%,6.50%,11.60%,,,0.04,0.04,,6.60%,7.00%,11/2/2022 4:30:00 PM,84.93,1.19%,89443
2499,SAGE,2379.37,,-30.80%,-32.80%,-26.70%,14.70,14.70,0.00,0.00,88.30%,,,11/8/2022 8:30:00 AM,45.31,10.62%,874127
2500,SAH,1795.08,2.23%,7.60%,33.50%,10.50%,1.00,0.30,1.51,2.55,16.50%,4.50%,2.70%,10/27/2022 8:30:00 AM,50.48,0.48%,289871
2501,SAIA,5918.37,,18.10%,26.60%,20.10%,1.60,1.60,0.01,0.02,69.20%,17.30%,13.10%,10/31/2022 8:30:00 AM,240.00,1.42%,308132
2502,SAIC,5778.30,1.39%,4.70%,16.30%,9.30%,1.00,,1.40,1.41,11.50%,6.20%,3.60%,12/5/2022 8:30:00 AM,106.08,-0.53%,203516
2503,SAM,4183.20,,5.30%,7.50%,1.60%,1.70,1.10,0.00,0.00,40.00%,5.30%,3.90%,10/20/2022 4:30:00 PM,349.95,1.56%,139988
2504,SANA,860.35,,-29.60%,-45.50%,,4.40,4.40,0.00,0.00,,,,11/2/2022 4:30:00 PM,4.57,4.10%,1812972
2505,SANM,3285.68,,5.50%,13.90%,13.60%,1.60,0.90,0.18,0.19,8.10%,4.60%,3.20%,11/7/2022 4:30:00 PM,59.38,1.31%,520539
2506,SAR,314.70,10.08%,1.80%,4.70%,1.90%,,,1.66,1.66,42.50%,32.10%,21.30%,1/10/2023 4:30:00 PM,27.06,0.26%,61416
2507,SASR,1536.50,3.85%,1.30%,11.80%,23.30%,,,0.25,0.25,,86.10%,38.10%,1/26/2023 8:30:00 AM,35.58,0.71%,147237
2508,SATL,352.42,,,,-403.30%,3.10,3.10,0.05,0.06,60.40%,,,,3.90,-3.23%,61997
2509,SATS,1412.39,,0.80%,1.50%,2.00%,5.00,4.70,0.44,0.00,57.20%,5.90%,2.60%,11/3/2022 8:30:00 AM,17.69,2.49%,262365
2510,SAVA,1521.83,,-30.20%,-31.40%,,22.10,22.10,0.00,0.00,,,,11/7/2022 8:30:00 AM,34.06,-4.30%,1890239
2511,SAVE,2174.18,,-4.30%,-19.10%,-6.40%,0.90,0.90,1.44,1.64,19.50%,-7.60%,-7.90%,10/26/2022 4:30:00 PM,20.56,3.37%,1025774
2512,SBAC,31903.76,0.93%,4.10%,-7.60%,10.40%,0.40,0.40,,,75.00%,33.90%,16.00%,10/31/2022 4:30:00 PM,306.44,0.11%,740836
2513,SBCF,1937.98,2.09%,1.10%,9.00%,18.20%,,,0.06,0.06,,94.90%,36.30%,1/26/2023 4:30:00 PM,32.85,1.08%,321356
2514,SBGI,1200.67,5.55%,31.10%,,2.10%,2.30,2.30,5.99,6.05,44.70%,87.50%,56.40%,11/2/2022 8:30:00 AM,18.10,0.44%,342223
2515,SBH,1496.35,,6.80%,64.30%,18.00%,1.70,0.30,3.69,3.92,50.30%,8.40%,4.80%,11/10/2022 8:30:00 AM,14.72,0.41%,943249
2516,SBNY,7059.67,1.90%,1.10%,16.00%,17.80%,,,0.07,0.07,,79.70%,42.40%,10/18/2022 8:30:00 AM,117.04,-0.58%,1071425
2517,SBNYP,7365.47,7.23%,,,,,,,,,,,,17.91,3.53%,89534
2518,SBOW,574.82,,24.00%,70.00%,35.90%,0.50,0.50,1.02,1.02,91.00%,64.90%,39.90%,11/2/2022 4:30:00 PM,27.54,5.88%,222618
2519,SBR,1252.32,9.92%,705.20%,817.00%,388.30%,,,0.00,0.00,,97.00%,97.10%,,88.40,1.29%,105535
2520,SBRA,2966.41,9.17%,-0.30%,-0.50%,1.10%,,,0.76,0.76,77.40%,0.30%,-2.90%,11/7/2022 4:30:00 PM,13.27,1.45%,1211793
2521,SBSI,1127.12,3.79%,1.40%,13.50%,17.70%,,,0.22,0.22,,89.10%,45.60%,10/25/2022 8:30:00 AM,36.54,1.70%,62951
2522,SBT,303.24,,0.50%,3.60%,19.90%,,,0.20,0.20,,93.00%,12.50%,10/31/2022 8:30:00 AM,6.00,0.67%,19695
2523,SBUX,119426.99,1.99%,11.50%,-37.90%,57.90%,0.80,0.50,,,26.00%,14.30%,10.20%,11/3/2022 4:30:00 PM,105.85,-0.42%,4880806
2524,SCCO,54671.59,2.72%,14.60%,32.60%,25.60%,3.30,2.60,0.83,0.87,56.50%,45.70%,25.60%,,75.70,2.98%,2094749
2525,SCHL,1394.06,1.94%,3.40%,5.50%,7.20%,1.50,1.00,0.00,0.00,53.30%,5.10%,3.90%,12/15/2022 4:30:00 PM,41.62,0.70%,139174
2526,SCHN,897.27,2.19%,5.80%,11.20%,15.10%,2.10,0.90,0.38,0.39,12.80%,4.60%,3.20%,1/5/2023 8:30:00 AM,34.48,0.64%,231750
2527,SCHW,153089.04,1.05%,1.00%,17.40%,1.10%,,,0.78,15.59,95.90%,42.30%,30.10%,1/18/2023 8:30:00 AM,83.48,0.07%,8210688
2528,SCI,10780.22,1.51%,4.50%,37.40%,16.10%,0.50,0.40,2.46,2.50,29.10%,25.60%,16.50%,11/1/2022 4:30:00 PM,71.23,-0.28%,824151
2529,SCL,2331.35,1.34%,6.80%,13.80%,9.50%,1.80,1.10,0.41,0.50,16.10%,7.80%,5.60%,10/19/2022 8:30:00 AM,112.00,2.90%,64671
2530,SCLX,1047.44,,1.30%,1.60%,,0.20,0.20,0.00,0.00,,,,,8.02,7.36%,377015
2531,SCPL,2012.18,,2.30%,16.50%,127.80%,7.30,7.30,0.00,0.00,69.40%,17.70%,2.70%,11/9/2022 4:30:00 PM,16.08,0.56%,200770
2532,SCRMU,936.08,,,,,,,,,,,,,10.03,-0.10%,318
2533,SCS,847.03,5.21%,0.70%,2.10%,1.70%,1.30,0.80,0.55,0.64,27.60%,1.20%,0.50%,12/19/2022 4:30:00 PM,7.76,1.04%,597374
2534,SCSC,777.33,,4.80%,11.30%,8.60%,2.00,1.10,0.39,0.39,12.10%,3.50%,2.50%,11/8/2022 8:30:00 AM,32.27,2.71%,72625
2535,SCU,491.28,2.86%,-1.20%,33.20%,14.50%,,,,,,-1.90%,-3.50%,,8.78,0.46%,100272
2536,SCVL,675.92,1.67%,12.30%,23.00%,34.30%,2.80,0.40,0.00,0.00,36.90%,11.30%,8.50%,11/16/2022 8:30:00 AM,25.79,0.31%,298400
2537,SCWX,556.64,,-9.10%,-13.50%,-5.60%,1.00,1.00,0.00,0.00,59.00%,-23.10%,-17.50%,12/1/2022 8:30:00 AM,6.95,4.35%,65114
2538,SD,611.34,,41.10%,56.20%,46.50%,3.90,3.90,0.00,0.00,77.60%,68.70%,68.80%,11/2/2022 4:30:00 PM,17.44,3.01%,440850
2539,SDGR,1581.45,,-21.60%,-29.90%,-20.10%,5.90,5.90,0.00,0.00,52.10%,-82.60%,-89.70%,11/3/2022 4:30:00 PM,23.33,7.12%,1189216
2540,SEA,1504.50,221.65%,,,,,,,,,,,,14.12,0.57%,2454
2541,SEAS,3399.74,,12.60%,-124.50%,17.90%,0.60,0.50,,,50.10%,28.70%,18.30%,11/9/2022 8:30:00 AM,57.04,2.28%,668230
2542,SEAT,1600.74,,2.70%,-5.40%,-10.10%,0.90,0.90,,,76.90%,9.80%,5.80%,11/8/2022 8:30:00 AM,8.30,1.84%,465220
2543,SEB,4734.76,0.22%,6.20%,10.40%,6.80%,2.50,1.30,0.15,0.25,8.60%,5.30%,4.30%,,3972.12,-1.85%,696
2544,SEE,7445.70,1.48%,9.40%,269.90%,16.40%,1.10,0.60,14.83,16.68,31.60%,16.70%,10.00%,11/1/2022 8:30:00 AM,54.63,1.22%,1179216
2545,SEER,339.51,,-17.30%,-18.80%,-14.20%,33.10,32.60,0.00,0.00,44.70%,,,11/8/2022 4:30:00 PM,5.61,-4.59%,210384
2546,SEIC,7976.65,1.40%,22.00%,26.50%,21.40%,4.40,4.40,0.00,0.00,84.60%,25.80%,25.00%,10/26/2022 4:30:00 PM,61.56,0.36%,342673
2547,SEM,3374.97,1.83%,2.30%,15.80%,12.40%,1.00,1.00,3.39,3.46,11.40%,6.70%,2.80%,11/3/2022 4:30:00 PM,28.11,2.93%,383111
2548,SEMR,1163.61,,-7.90%,-10.80%,-1.20%,3.30,3.30,0.00,0.00,79.90%,-10.40%,-10.00%,11/14/2022 4:30:00 PM,8.16,-0.24%,127026
2549,SENEA,449.62,,4.20%,8.00%,7.50%,2.30,0.40,0.59,0.63,9.20%,4.00%,3.10%,,64.00,4.76%,68252
2550,SENS,497.01,,115.40%,-313.70%,47.60%,2.90,2.80,,,11.00%,,,11/8/2022 4:30:00 PM,1.11,2.78%,2566266
2551,SES,1247.74,,-11.70%,-13.50%,,23.80,23.80,0.00,0.00,,,,11/9/2022 4:30:00 PM,3.66,1.95%,198673
2552,SF,6338.84,1.95%,2.00%,16.00%,2.80%,,,0.26,6.44,98.70%,20.80%,15.20%,10/26/2022 8:30:00 AM,62.55,1.56%,468935
2553,SFBS,3708.61,1.61%,1.60%,19.90%,25.30%,,,0.05,0.05,,82.50%,47.70%,1/23/2023 4:30:00 PM,71.73,2.84%,139158
2554,SFIX,443.21,,-31.90%,-71.20%,-63.70%,1.60,0.80,0.00,0.00,42.50%,-13.40%,-13.40%,12/6/2022 4:30:00 PM,4.31,3.61%,2486171
2555,SFM,3259.00,,8.50%,25.10%,21.00%,1.30,0.70,0.25,0.25,36.50%,5.50%,4.00%,11/8/2022 4:30:00 PM,32.13,0.97%,1002686
2556,SFNC,2758.55,3.40%,0.90%,7.00%,15.40%,,,0.13,0.13,,86.50%,28.80%,1/24/2023 8:30:00 AM,22.83,2.10%,436812
2557,SFST,347.49,,1.10%,12.60%,23.50%,,,0.13,0.13,,90.20%,33.40%,,44.04,0.50%,13343
2558,SG,1016.77,,-27.70%,-32.80%,-20.60%,8.70,8.70,0.00,0.00,29.20%,-42.20%,-45.30%,11/8/2022 4:30:00 PM,9.72,6.00%,2585313
2559,SGEN,24455.89,,-17.50%,-21.60%,-22.20%,3.80,3.30,0.00,0.00,79.20%,-33.80%,-34.20%,10/27/2022 4:30:00 PM,132.04,0.05%,795799
2560,SGFY,6766.85,,-26.30%,-55.10%,2.40%,1.90,1.90,0.51,0.51,41.80%,-74.00%,-66.00%,,28.88,0.28%,2562930
2561,SGH,755.96,,3.20%,14.10%,9.60%,2.00,1.30,2.26,2.34,24.80%,5.30%,2.80%,1/3/2023 4:30:00 PM,16.76,1.21%,408984
2562,SGHT,481.72,,-33.90%,-42.20%,-19.50%,12.80,12.50,0.19,0.19,83.80%,,,11/10/2022 4:30:00 PM,11.77,4.16%,100262
2563,SGMO,575.65,,-27.50%,-53.20%,-48.90%,2.80,2.80,0.00,0.00,,,,11/3/2022 4:30:00 PM,3.63,5.52%,1879292
2564,SGRY,3251.24,,-0.50%,-2.70%,7.20%,1.20,1.10,2.65,2.74,25.40%,15.00%,-1.30%,11/8/2022 8:30:00 AM,30.75,2.91%,536185
2565,SGU,436.60,4.90%,3.20%,10.60%,10.50%,0.80,0.50,0.58,0.70,24.10%,3.00%,1.60%,12/7/2022 4:30:00 PM,12.87,3.29%,122057
2566,SHAK,2218.64,,-1.60%,-5.70%,-1.30%,2.50,2.50,0.61,0.62,41.90%,-3.10%,-2.70%,11/3/2022 8:30:00 AM,55.09,2.55%,1562925
2567,SHBI,344.16,2.74%,0.70%,7.20%,14.90%,,,0.12,0.12,,91.60%,24.50%,10/27/2022 4:30:00 PM,17.72,0.97%,36597
2568,SHC,4958.78,,4.10%,18.70%,7.50%,3.00,2.70,2.97,2.97,55.30%,23.40%,11.60%,11/2/2022 8:30:00 AM,18.28,3.63%,4320419
2569,SHCR,724.72,,-11.60%,-15.30%,-15.00%,3.50,3.50,0.00,0.00,48.90%,-34.30%,-19.20%,11/10/2022 8:30:00 AM,2.19,6.83%,975223
2570,SHEN,836.07,0.46%,-0.60%,-0.90%,-0.10%,1.50,1.50,0.04,0.04,57.80%,-5.40%,-2.20%,11/2/2022 8:30:00 AM,17.91,3.77%,102533
2571,SHLS,4347.46,,3.30%,121.80%,8.10%,2.60,1.40,10.41,10.49,38.10%,16.30%,5.60%,11/14/2022 4:30:00 PM,27.34,6.71%,2543753
2572,SHO,2059.97,2.00%,6.30%,10.40%,-3.50%,1.40,1.40,0.44,0.45,62.30%,7.00%,23.00%,11/8/2022 8:30:00 AM,10.16,1.80%,1852035
2573,SHOO,2533.69,2.53%,19.30%,30.10%,23.90%,2.90,2.00,0.00,0.00,41.00%,14.40%,11.20%,11/2/2022 8:30:00 AM,33.20,-0.06%,732443
2574,SHW,61013.13,0.98%,8.90%,81.60%,15.30%,1.00,0.60,3.69,4.06,41.40%,11.20%,8.90%,1/26/2023 8:30:00 AM,243.74,-0.01%,1077558
2575,SHYF,1043.52,0.67%,8.00%,16.00%,25.00%,1.80,1.20,0.26,0.36,17.30%,4.30%,3.90%,10/27/2022 8:30:00 AM,30.25,1.75%,140538
2576,SI,395.97,,0.80%,8.10%,7.50%,,,0.01,0.01,,96.60%,47.50%,10/18/2022 8:30:00 AM,13.75,12.89%,12966077
2577,SIBN,569.67,,-37.30%,-54.90%,-31.60%,7.50,6.60,0.33,0.34,86.00%,-62.50%,-64.80%,11/7/2022 4:30:00 PM,15.86,-1.92%,268362
2578,SIGA,543.94,,56.50%,65.90%,39.70%,7.20,6.00,0.00,0.00,88.40%,64.50%,50.20%,11/3/2022 4:30:00 PM,8.08,5.48%,739303
2579,SIGI,5416.71,1.30%,2.20%,9.10%,12.60%,,,0.23,0.23,,10.10%,6.50%,2/2/2023 4:30:00 PM,93.46,1.01%,218879
2580,SIGIP,5559.40,6.48%,,,,,,,,,,,,17.76,0.06%,3855
2581,SIL,5849.07,0.44%,,,,,,,,,,,,30.93,1.38%,399517
2582,SILK,2004.75,,-36.50%,-86.40%,-37.10%,6.10,5.30,1.30,1.30,73.10%,-42.30%,-45.00%,11/8/2022 4:30:00 PM,54.94,2.58%,217481
2583,SIRE,427.52,8.92%,10.00%,29.80%,18.00%,3.10,2.70,0.66,0.70,21.00%,17.60%,8.40%,10/28/2022 4:30:00 PM,22.38,-0.22%,27824
2584,SIRI,22713.84,1.62%,11.50%,-34.80%,27.70%,0.40,,,,54.20%,21.60%,13.00%,11/1/2022 8:30:00 AM,5.96,-0.67%,10538973
2585,SITC,2801.00,3.95%,4.60%,9.90%,4.20%,,,0.94,0.94,70.10%,33.60%,34.20%,10/25/2022 8:30:00 AM,13.44,2.05%,1948950
2586,SITE,5582.31,,11.20%,23.20%,18.90%,2.40,1.00,0.32,0.33,35.70%,9.40%,7.00%,11/2/2022 8:30:00 AM,129.77,0.19%,134810
2587,SITM,2101.77,,6.30%,6.70%,5.20%,18.90,17.60,0.00,0.00,66.10%,14.10%,15.00%,2/1/2023 4:30:00 PM,102.58,-2.00%,422259
2588,SIVB,14261.59,,0.70%,13.10%,15.90%,,,0.28,0.28,,83.00%,32.80%,1/19/2023 4:30:00 PM,253.82,-0.46%,843449
2589,SIX,2074.01,,3.30%,-9.20%,21.50%,0.60,0.50,,,92.00%,25.70%,6.70%,11/10/2022 8:30:00 AM,26.06,4.49%,1475414
2590,SJI,4340.11,3.47%,2.00%,7.40%,5.40%,0.70,0.60,1.74,1.85,30.10%,13.20%,6.00%,11/2/2022 4:30:00 PM,35.76,-0.06%,1297670
2591,SJM,16504.78,2.58%,3.50%,7.00%,6.40%,1.10,0.40,0.53,0.56,32.00%,11.30%,7.00%,11/21/2022 8:30:00 AM,155.35,-1.60%,623215
2592,SJT,460.35,16.72%,652.80%,,972.20%,,,0.00,0.00,,97.70%,97.60%,,10.37,4.12%,492561
2593,SJW,2409.94,1.81%,1.60%,5.60%,4.00%,0.50,0.50,1.39,1.58,86.20%,19.00%,9.90%,10/27/2022 4:30:00 PM,80.03,0.39%,274733
2594,SKIN,1504.64,,2.00%,7.40%,-3.30%,11.70,10.30,2.84,0.00,70.00%,-8.00%,6.70%,11/8/2022 8:30:00 AM,10.49,3.35%,3556930
2595,SKT,1884.10,4.81%,3.50%,15.60%,2.90%,,,2.83,2.83,67.50%,25.80%,17.40%,11/2/2022 4:30:00 PM,18.58,1.47%,552831
2596,SKX,6987.80,,10.60%,20.70%,23.40%,2.30,1.10,0.07,0.11,47.20%,7.70%,9.70%,10/25/2022 4:30:00 PM,46.19,-0.62%,2299742
2597,SKY,3205.62,,32.10%,46.30%,28.70%,2.80,2.20,0.01,0.05,31.50%,20.50%,15.40%,11/1/2022 4:30:00 PM,59.18,2.92%,277088
2598,SKYT,366.78,,-23.50%,-138.40%,-36.00%,1.10,0.90,2.25,2.30,3.30%,-31.50%,-34.10%,11/7/2022 4:30:00 PM,8.91,-0.67%,122350
2599,SKYW,939.14,,1.70%,5.40%,4.40%,1.10,1.00,1.24,1.42,68.20%,8.00%,4.00%,10/27/2022 4:30:00 PM,20.00,3.63%,398175
2600,SLAB,4766.80,,2.40%,3.40%,-1.90%,7.90,7.50,0.34,0.34,62.90%,10.00%,6.50%,10/26/2022 8:30:00 AM,151.06,0.55%,225805
2601,SLAC,432.13,,1.70%,1.80%,,0.20,0.20,0.00,0.00,,,,,9.98,0.00%,7042
2602,SLAMU,727.02,,,,,,,,,,,,,10.14,-0.20%,5446
2603,SLB,77180.36,1.24%,7.00%,18.60%,8.00%,1.40,1.00,0.72,0.78,17.70%,15.00%,11.30%,1/20/2023 8:30:00 AM,58.00,2.98%,12855250
2604,SLCA,913.36,,1.20%,4.40%,1.70%,2.40,1.90,1.65,1.69,30.70%,7.30%,2.00%,10/28/2022 8:30:00 AM,12.46,4.01%,615272
2605,SLDP,419.04,,48.50%,53.00%,-4.70%,24.70,24.70,0.00,0.00,-14.30%,,,11/8/2022 4:30:00 PM,2.65,12.29%,3015974
2606,SLG,2304.34,8.82%,-0.20%,-0.50%,2.00%,,,1.28,1.28,59.50%,22.80%,-2.90%,1/25/2023 4:30:00 PM,37.74,2.44%,1014172
2607,SLGC,553.15,,-11.90%,-13.60%,-12.70%,14.60,14.10,0.00,0.00,59.90%,,-81.70%,11/14/2022 8:30:00 AM,3.25,10.17%,1493933
2608,SLGN,5755.75,1.23%,5.20%,24.60%,8.70%,1.40,0.90,1.92,2.27,16.10%,10.10%,6.30%,1/24/2023 8:30:00 AM,52.47,0.79%,410498
2609,SLM,4161.84,2.56%,2.90%,47.30%,13.40%,,,3.19,3.19,,60.50%,44.40%,10/26/2022 4:30:00 PM,17.19,0.12%,821075
2610,SLP,792.00,0.61%,6.40%,6.80%,6.70%,19.00,19.00,0.00,0.00,79.90%,26.10%,22.10%,1/4/2023 4:30:00 PM,39.90,1.92%,120055
2611,SLRC,817.21,10.99%,,,,,,,,,,,11/2/2022 4:30:00 PM,15.04,0.80%,135684
2612,SLVM,2152.55,2.00%,3.20%,33.60%,20.80%,1.40,1.00,4.65,4.76,33.10%,14.00%,2.30%,11/10/2022 8:30:00 AM,49.76,-0.32%,275414
2613,SM,3915.72,1.88%,23.70%,53.90%,4.80%,1.00,1.00,0.55,0.55,82.70%,46.40%,36.10%,11/3/2022 4:30:00 PM,33.07,3.67%,1428669
2614,SMAR,5079.79,,-22.60%,-46.80%,-33.70%,1.30,1.30,0.00,0.00,78.40%,-32.20%,-31.70%,12/1/2022 4:30:00 PM,40.69,3.09%,1475688
2615,SMBC,423.41,1.78%,1.40%,13.80%,26.00%,,,0.07,0.07,,81.00%,35.60%,,47.67,1.10%,19593
2616,SMBK,447.55,1.03%,0.80%,8.70%,21.40%,,,0.13,0.13,,87.40%,25.40%,1/23/2023 4:30:00 PM,27.48,0.88%,17680
2617,SMCI,3805.45,,14.50%,32.20%,14.00%,2.10,0.80,0.09,0.15,16.80%,8.70%,7.40%,11/1/2022 4:30:00 PM,80.45,6.40%,1079112
2618,SMG,3261.33,4.41%,-8.40%,-73.70%,-10.10%,2.10,0.70,19.13,20.11,26.30%,-11.10%,-11.10%,11/2/2022 8:30:00 AM,58.78,-1.75%,777424
2619,SMMF,321.16,3.18%,1.30%,15.60%,21.70%,,,0.38,0.38,,81.70%,34.90%,10/27/2022 8:30:00 AM,25.32,0.76%,60758
2620,SMMT,897.75,,-72.10%,-104.30%,-103.50%,8.20,8.20,0.00,0.00,,,,,4.02,4.96%,3467873
2621,SMP,766.56,2.95%,5.10%,11.00%,13.40%,2.20,0.70,0.35,0.45,27.80%,8.20%,4.80%,10/28/2022 8:30:00 AM,37.45,2.35%,53743
2622,SMPL,3577.64,,5.90%,8.60%,8.70%,4.40,2.90,0.27,0.27,37.00%,16.60%,10.40%,1/5/2023 8:30:00 AM,36.39,1.85%,683587
2623,SMR,2444.34,,-16.20%,12.20%,23.60%,8.20,8.20,0.00,0.00,42.80%,,,11/14/2022 8:30:00 AM,10.84,1.69%,652037
2624,SMRT,529.70,,-17.50%,-24.20%,-16.00%,3.70,3.10,0.00,0.00,-3.50%,-66.60%,-62.30%,11/10/2022 4:30:00 PM,2.68,-1.11%,485066
2625,SMTC,1889.58,,12.00%,19.20%,14.10%,6.00,5.20,0.57,0.57,64.60%,24.60%,18.90%,11/30/2022 4:30:00 PM,30.71,-0.23%,1169361
2626,SMTI,356.83,,-15.60%,-19.70%,-24.10%,2.20,1.80,0.00,0.00,87.30%,-32.00%,-18.50%,11/14/2022 4:30:00 PM,44.36,2.69%,4605
2627,SNA,12719.36,2.62%,13.10%,20.90%,16.30%,3.30,2.30,0.27,0.28,52.20%,24.90%,18.70%,10/20/2022 8:30:00 AM,248.24,0.53%,269011
2628,SNAP,15447.31,,-13.30%,-32.70%,-11.80%,4.90,4.90,1.29,1.29,61.50%,-24.60%,-24.30%,1/31/2023 4:30:00 PM,9.64,-0.21%,21701102
2629,SNBR,705.39,,5.70%,-12.00%,-376.40%,0.20,0.10,,,57.40%,3.90%,2.50%,10/26/2022 4:30:00 PM,33.55,2.07%,292806
2630,SNCY,1054.25,,0.70%,2.00%,9.30%,1.10,1.00,1.11,1.23,58.80%,6.10%,1.20%,11/1/2022 4:30:00 PM,19.10,3.97%,190955
2631,SNDR,4257.64,1.29%,11.60%,18.70%,14.70%,1.90,1.90,0.05,0.08,54.50%,9.60%,7.30%,2/2/2023 8:30:00 AM,24.68,-0.52%,307674
2632,SNDX,1759.07,,-3.40%,-3.80%,6.10%,17.20,17.20,0.00,0.00,,,-11.00%,11/3/2022 4:30:00 PM,26.91,5.04%,731929
2633,SNEX,1865.18,,1.00%,19.70%,3.30%,,,0.77,4.87,2.90%,0.40%,0.30%,11/21/2022 4:30:00 PM,93.12,0.90%,128136
2634,SNOW,44025.42,,-10.30%,-13.50%,-14.20%,3.10,3.10,0.00,0.00,65.30%,-42.40%,-38.80%,11/30/2022 4:30:00 PM,142.14,1.74%,3802531
2635,SNPO,614.98,,-0.80%,-1.60%,-0.30%,2.20,0.60,0.67,0.67,39.10%,0.70%,-1.10%,11/9/2022 4:30:00 PM,8.62,3.23%,31672
2636,SNPS,50085.63,,10.70%,17.80%,18.50%,1.10,1.00,0.00,0.00,79.10%,22.90%,19.40%,11/30/2022 4:30:00 PM,333.10,-0.37%,535320
2637,SNRH,515.20,,5.10%,5.40%,,0.10,0.10,0.00,0.00,,,,,9.90,0.00%,2950
2638,SNV,5496.13,3.48%,1.30%,17.10%,23.60%,,,1.20,1.20,,92.10%,39.10%,1/19/2023 8:30:00 AM,39.73,1.72%,848276
2639,SNX,10162.13,1.09%,1.90%,6.90%,4.60%,1.20,0.60,0.50,0.53,6.10%,1.50%,0.90%,1/10/2023 8:30:00 AM,109.43,-0.83%,473207
2640,SO,76545.58,3.80%,2.60%,11.70%,4.20%,0.80,0.60,1.61,1.76,84.10%,17.50%,12.10%,10/27/2022 8:30:00 AM,70.34,-1.70%,5080511
2641,SOFI,4789.29,,-3.50%,-8.70%,2.90%,,,0.89,0.89,,72.80%,-77.00%,1/30/2023 8:30:00 AM,5.36,4.08%,49253785
2642,SOI,478.44,4.07%,3.70%,7.70%,-0.50%,1.60,1.50,0.04,0.04,30.60%,11.80%,5.70%,10/31/2022 4:30:00 PM,10.83,4.94%,266960
2643,SOL,337.80,,-0.10%,-0.10%,2.70%,6.20,6.20,0.11,0.14,32.50%,1.80%,-0.80%,12/1/2022 4:30:00 PM,5.40,2.66%,428745
2644,SON,5729.97,3.26%,6.70%,22.80%,15.50%,1.40,0.80,1.41,1.63,19.80%,9.30%,6.20%,11/1/2022 8:30:00 AM,61.16,1.85%,404988
2645,SONO,2299.62,,5.40%,10.60%,15.70%,1.60,0.80,0.00,0.00,45.40%,5.10%,3.80%,11/16/2022 4:30:00 PM,18.18,-0.93%,1042021
2646,SOR,315.29,5.77%,-8.40%,-8.50%,2.20%,,,0.00,0.00,75.30%,71.20%,,,38.57,0.31%,14606
2647,SOVO,1415.38,,-2.40%,-5.70%,3.30%,2.20,1.50,0.97,0.97,28.60%,-1.50%,-3.60%,11/2/2022 4:30:00 PM,14.45,-0.28%,170512
2648,SP,732.04,,4.50%,20.80%,10.20%,0.60,0.60,1.21,1.26,14.70%,5.90%,3.30%,11/2/2022 4:30:00 PM,36.68,1.47%,68020
2649,SPB,2611.54,2.63%,1.20%,5.50%,0.80%,2.70,2.10,2.49,2.50,31.70%,0.70%,2.30%,11/18/2022 8:30:00 AM,63.37,-0.88%,598353
2650,SPCE,1168.30,,-34.80%,-59.10%,-35.70%,6.40,6.20,0.68,0.68,53.30%,,,11/3/2022 4:30:00 PM,4.62,7.69%,12847710
2651,SPFI,465.32,1.72%,1.50%,16.10%,20.60%,,,0.36,0.36,,91.30%,40.30%,10/21/2022 8:30:00 AM,28.35,1.69%,60710
